nsp,ncomm,nmeas,model,likelihood,npars,pval_rnd,pval_scramble,corr,alpha,nrnd,nscr,label
13,28,142,1,-515.1250776227564,26,0.011,0.006,0.9159157383363326,1.9611794323034288,1000,1000,Bio II 6/01
13,28,142,2,-506.8028971011371,38,0.001,0.004,0.9239940361060623,2.2929500013358144,1000,1000,Bio II 6/01
13,28,142,3,-510.38441141454877,38,0.606,0.612,0.922608300064174,2.1453928482951596,1000,1000,Bio II 6/01
13,28,142,4,-496.52492735477693,50,0.153,0.137,0.9362000923379055,2.758086898879046,1000,1000,Bio II 6/01
20,63,416,1,-1562.8623149487448,40,0.032,0.034,0.8484502815373582,0.7396795169798548,1000,1000,Bio II 7/06
20,63,416,2,-1543.5400994086901,59,0.028,0.032,0.8572087263012623,0.8825653999259783,1000,1000,Bio II 7/06
20,63,416,3,-1548.5298039571328,59,0.013,0.028,0.8563716238800576,0.8447412880963256,1000,1000,Bio II 7/06
20,63,416,4,-1528.0997201149275,78,0.001,0.007,0.8662141270668112,1.0066889270812447,1000,1000,Bio II 7/06
20,69,445,1,-1829.443546206914,40,0.017,0.014,0.8290994446737894,0.7203350026720579,1000,1000,Bio II 8/07
20,69,445,2,-1810.570702007682,59,0.02,0.018,0.8418558387452683,0.8494020924253894,1000,1000,Bio II 8/07
20,69,445,3,-1816.6835316243244,59,0.033,0.056,0.8399701176974689,0.8062536126766636,1000,1000,Bio II 8/07
20,69,445,4,-1791.4734318435142,78,0.049,0.041,0.8523063346248775,0.9911731684438668,1000,1000,Bio II 8/07
17,33,247,1,-1019.9266259903636,34,0.008,0.008,0.8333753645886948,0.9471636151579097,1000,1000,Bio II 7/08
17,33,247,2,-1005.3843128566502,50,0.045,0.049,0.8479956619761054,1.1558228412285692,1000,1000,Bio II 7/08
17,33,247,3,-1014.2246987153814,50,0.03,0.024,0.8415865229784546,1.0261392058771863,1000,1000,Bio II 7/08
17,33,247,4,-989.2441716896543,66,0.014,0.008,0.8544031422048787,1.4188146750706423,1000,1000,Bio II 7/08
20,59,451,1,-1872.4682109503408,40,0.147,0.188,0.8646950160858875,0.9332704071709657,1000,1000,Bio II 8/11
