"species","genus","family","code"
"Achillea millefolium","Achillea","Asteraceae","Achillea millefolium"
"Elymus repens","Elymus","Poaceae","Agropyron repens"
"Agrostis rudis","Agrostis","Poaceae","Agrostis scabra"
"Ambrosia polystachya","Ambrosia","Asteraceae","Ambrosia artemisiifolia elatior"
"Amorpha canescens","Amorpha","Fabaceae","Amorpha canescens"
"Andropogon gerardi","Andropogon","Poaceae","Andropogon gerardi"
"Aristida basiramea","Aristida","Poaceae","Aristida basiramea"
"Asclepias tuberosa","Asclepias","Apocynaceae","Asclepias tuberosa"
"Bouteloua aristidoides","Bouteloua","Poaceae","Bouteloua gracilis"
"Bouteloua curtipendula","Bouteloua","Poaceae","Bouteloua curtipendula"
"Chenopodium leptophyllum","Chenopodium","Amaranthaceae","Chenopodium leptophyllum"
"Crepis vesicaria","Crepis","Asteraceae","Crepis tectorum"
"Cyperus lanceolatus","Cyperus","Cyperaceae","Cyperus filiculmis"
"Cyperus schweinitzii","Cyperus","Cyperaceae","Cyperus schweinitzii"
"Elymus canadensis","Elymus","Poaceae","Elymus canadensis"
"Eragrostis spectabilis","Eragrostis","Poaceae","Eragrostis spectabilis"
"Erigeron rufescens","Erigeron","Asteraceae","Erigeron canadensis"
"Euphorbia glyptosperma","Euphorbia","Euphorbiaceae","Euphorbia glyptosperma"
"Hedeoma hispida","Hedeoma","Lamiaceae","Hedeoma hispida"
"Koeleria pyramidata","Koeleria","Poaceae","Koeleria cristata"
"Lepidium densiflorum","Lepidium","Brassicaceae","Lepidium densiflorum"
"Digitaria coenicola","Digitaria","Poaceae","Leptoloma cognatum"
"Lespedeza capitata","Lespedeza","Fabaceae","Lespedeza capitata"
"Liatris aspera","Liatris","Asteraceae","Liatris aspera"
"Linaria vulgaris","Linaria","Plantaginaceae","Linaria vulgaris"
"Lupinus perennis","Lupinus","Fabaceae","Lupinus perennis"
"Mollugo verticillata","Mollugo","Molluginaceae","Mollugo verticillata"
"Monarda fistulosa","Monarda","Lamiaceae","Monarda fistulosa"
"Panicum oligosanthes","Panicum","Poaceae","Panicum oligosanthes"
"Panicum sumatrense","Panicum","Poaceae","Panicum virgatum"
"Petalostemum candidum","Petalostemum","Fabaceae","Petalostemum candidum"
"Petalostemum purpureum","Petalostemum","Fabaceae","Petalostemum purpureum"
"Petalostemum villosum","Petalostemum","Fabaceae","Petalostemum villosum"
"Physalis virginiana","Physalis","Solanaceae","Physalis virginiana"
"Poa pratensis","Poa","Poaceae","Poa pratensis"
"Fallopia convolvulus","Fallopia","Polygonaceae","Polygonum convolvulus"
"Polygonum tenue","Polygonum","Polygonaceae","Polygonum tenue"
"Rumex acetosella","Rumex","Polygonaceae","Rumex acetosella"
"Schizachyrium scoparium","Schizachyrium","Poaceae","Schizachyrium scoparium"
"Silene antirrhina","Silene","Caryophyllaceae","Silene antirrhina"
"Solidago nemoralis","Solidago","Asteraceae","Solidago nemoralis"
"Solidago rigida","Solidago","Asteraceae","Solidago rigida"
"Sorghastrum nutans","Sorghastrum","Poaceae","Sorghastrum nutans"
"Sporobolus cryptandrus","Sporobolus","Poaceae","Sporobolus cryptandrus"
"Taraxacum officinale","Taraxacum","Asteraceae","Taraxicum officinalis"
