Solidago_nemoralis,Achillea_millefolium,Monarda_fistulosa,Petalostemum_villosum,Lespedeza_capitata,Lupinus_perennis,Panicum_sumatrense,Andropogon_gerardi,Schizachyrium_scoparium,Sorghastrum_nutans,Bouteloua_aristidoides,Poa_pratensis,Koeleria_pyramidata
0,0,0,0,0,0,0,0,0,0,0,0,64.937
0,0,0,0,0,0,0,0,0,52.348,0,0,0
0,0,0,0,0,0,0,0,0,61.367,0,0,0
0,0,0,0,0,0,0,0,32.323,0,0,0,0
0,0,0,0,0,0,0,0,22.083,0,0,0,0
0,0,0,0,0,0,0,93.138,0,0,0,0,0
0,0,0,0,0,0,4.717,0,43.767,0,0,0,0
0,0,0,0,0,0,10,18.633,27.933,15.1,0.55,0,0
0,0,0,0,0,138.238,0,0,56.022,0,0,2.35,0
0,0,0,0,0,195,0,71.05,0,0,0,14.733,0
0,0,0,0,0,227.412,0,132.125,0,0,1.583,0,0
0,0,0,0,0,133.683,0,58.25,56.433,0,0.317,4.233,0
0,0,0,0,0,108.622,0,6.86,17.673,15.913,0,1.257,9.295
0,0,0,0,78.78,0,0,0,79.655,0,0,0,0
0,0,0,0,7.383,0,0,0,52.1,25.867,0.917,0,0
0,0,0,51.933,0,0,0,0,70.992,0,0,0,0
0,0,0,52.717,21.967,0,0,0,20.783,0,0,1.4,9.883
0,0,0,70.633,12.503,153.6,0,66.787,46.87,0,0.503,4.238,11.442
0,0,0.733,17.933,8.85,127.6,0,12.167,25.8,15.15,0.3,0,7.45
0,3.633,0,0,22,129.4,0,0,77.117,0,1.017,12.317,0
0,3.505,2.442,0,0,0,0,0,55.538,0,0,0,0
0,3.117,2,6.95,0,159.867,5.783,13.733,22.333,0,0,1.483,0
3.967,0,0,28.683,14.05,62.217,8.35,10.867,16.383,13.817,0,0,2.8
10.917,0,10.9,0,0,0,8.767,0,119.967,2.617,0,0,0
45.182,0,3.85,14.582,0,139.248,12.988,0,43.305,0,0.593,0,0
7.883,0,4.05,44.7,0,131.317,9.367,0,50.65,29.017,0,0.933,0
29.467,4.033,0,0,30.7,0,0,70.5,0,9.467,0.667,0,0
11.267,4.867,0,0,10.55,115.65,14.983,0,21.833,26.6,0.55,0,0
7.348,15.655,0,5.953,18.783,120.525,0,55.477,27.527,15.763,0,6.025,0
28.233,4.133,0,24.15,25.833,174.067,4.367,0,20.883,91.017,2.233,0,3.783
