Liatris_aspera,Solidago_nemoralis,Achillea_millefolium,Monarda_fistulosa,Asclepias_tuberosa,Petalostemum_villosum,Lespedeza_capitata,Amorpha_canescens,Lupinus_perennis,Panicum_sumatrense,Panicum_oligosanthes,Andropogon_gerardi,Schizachyrium_scoparium,Sorghastrum_nutans,Bouteloua_aristidoides,Sporobolus_cryptandrus,Poa_pratensis,Agrostis_rudis,Koeleria_pyramidata,Elymus_repens
0,0,0,0,0,0,0,0,0,0,0,0,0,80.85,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,49.73,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,70.08,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,30.15,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,18.62,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,64.86,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,101.17,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,47.5,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,86.9,0,0,0,0,0,0,6.03,0
0,0,0,0,0,0,0,0,0,0,0,74.62,0,0,0,0,0,0.58,0,0
0,0,0,0,0,0,0,0,0,121.2,0,0,6.57,63.07,0,0.82,0,0,3.75,0
0,0,0,0,0,0,0,0,258.08,0,0,205.83,0,0,0,0,43.55,0,0,0
0,0,0,0,0,0,0,0,28.53,0,0,57.1,10.73,8.37,0,0,8.42,0,0,0
0,0,0,0,0,0,0,0,72.92,0,0,64.03,7.47,75.08,0,0,37.63,0,0,3.72
0,0,0,0,0,0,0,0,103.45,0,4.13,0,139.33,0,1.4,0,31.95,0,0,2.15
0,0,0,0,0,0,0,0,39.75,105.83,0,0,0,13.62,0,0,26.12,0,0,0
0,0,0,0,0,0,0,0,103.78,37.08,4.88,0,128.05,0,0,0,33.28,0,0,3.12
0,0,0,0,0,0,0,27.32,60.05,0,0,30.67,33.27,0,0,0,6.97,0,0,0
0,0,0,0,0,0,161.08,0,0,0,0,10.83,118.28,0,3.1,0,0,0,0,0
0,0,0,0,0,0,17.95,8.08,48.53,0,0,11.98,37.57,0,1.88,0,0,0,3.2,0
0,0,0,0,0,0,57.7,30.77,171.87,4.96,0,160.82999999999998,97.2,27.299999999999997,1.2999999999999998,0,18.83,0.77,2.86,0
0,0,0,0,0,25.02,0,0,0,0,0,0,0,27.28,0,1.55,0,0.6,0,0
0,0,0,0,0,64.85,0,0,0,0,0,0,247.49,0,5.18,1.47,0,0,0,0
0,0,0,0,0,35.7,0,0,0,0,0,16.74,70.92999999999999,0,0,0,0,0.4,0,0
0,0,0,0,0,98.65,0,0,0,0,0,27.95,55.28,0,0,0,4.2,0,3.47,0
0,0,0,0,0,50.78,0,0,0,0,0,51.47,10.97,4.95,0,0,17,0,6.42,0
0,0,0,0,0,138.43,0,0,0,0,0,16.67,159.07,5.8,1.58,0,0,0,0,0
0,0,0,0,0,31.72,0,0,32.92,0,0,0,65.13,0,0,0,10.97,0,0,0
0,0,0,0,0,7.13,0,0,56.82,0,0,10.38,69.4,0,0,5.82,3.67,0,0,0
0,0,0,0,0,18.93,0,0,75.35,0,1.42,155.53,0,9.4,0,0,0,0,0,0
0,0,0,0,0,16,0,30.32,16.73,0,0,50.2,28.98,27.38,0,0,4.12,0,0,0
0,0,0,0,0,12.38,64.6,20.78,0,7.85,0,0,19.05,0,0,0,0,0,15.02,0
0,0,0,0,0,4.75,14.65,72.9,33.88,0,0,20.07,16,0,0,0,3.23,0,2.77,0
0,0,0,0,5.17,0,0,0,0,96.8,0,0,0,78.58,0,0,0,0.35,0,0
0,0,0,0,0.9,0,0,0,36.02,0,0,143.07,11.28,0,0,0,6.47,0,0,0
0,0,0,0,2.27,0,9.77,26.72,60.55,0,2.67,53.05,52.93,8.25,0,1.13,13.82,0,0,0
0,0,0,0,1.67,8.3,18.17,0,51.7,0,0,85.97,27.72,0,0,0,17.02,0,0,0
0,0,0,0,1.35,23.06,27.87,70.33,0,5.33,0,0,70.53,0,6.03,0,0,0,3.95,0
0,0,0,0,1.47,7.75,16.15,47.87,111.18,9.15,0,0,182.75,13.55,1.6,0,10.97,0,0,0
0,0,0,22.27,0,0,0,0,0,0,0,24.28,108.73,0,0,0,0,0,3.1,0
0,0,0,189.6,0,0,0,0,49.3,0,0,0,0,31.48,0,0,18.33,0,0,0
0,0,0,9.17,0,7.87,0,0,26.77,0,0,0,91.75,0,0,2.43,2.58,0,0,3.52
0,0,0,103.37,0,3.87,21.42,0,49.07,0,6.28,72.03,45.03,11.53,0,0,0,0,0,0
