Liatris_aspera,Solidago_nemoralis,Achillea_millefolium,Monarda_fistulosa,Petalostemum_villosum,Lespedeza_capitata,Amorpha_canescens,Lupinus_perennis,Panicum_sumatrense,Panicum_oligosanthes,Andropogon_gerardi,Schizachyrium_scoparium,Sorghastrum_nutans,Bouteloua_aristidoides,Sporobolus_cryptandrus,Poa_pratensis,Koeleria_pyramidata
0,0,0,0,0,0,0,0,0,0,0,0,133.78,0,2.15,0,0
0,0,0,0,0,0,0,0,0,0,43.65,6.2,0,0,0,0,0
0,0,0,0,0,148.11,0,0,0,0,0,200.13,0,5.05,0,0,0
0,0,0,0,0,19.34,39.12,131.95,6.5,0,64.09,59.12,44.51,3.06,0,22,7.36
0,0,0,0,61.9,0,63.23,103.87,14.88,0,109.2,14.87,36.05,0,0,17.2,0
0,0,0,0,38.28,24.53,0,68.42,0,0,124.82,0,3.77,0,0,27.47,0
0,0,0,0,17.330000000000002,14.33,0,117.22,0,0.43,86.93,20.12,12.42,7.2,0,38.76,4.62
0,0,0,0,24.53,20.68,19.07,104.03,12.53,0,0,65.72,28.77,0.72,0,34.78,0
0,0,0,0.84,0,0,0,97.48,197.22,4.81,53.9,5.17,4.01,0,0,62.11,0
0,0,0,12.4,0,28.22,0,92.24,0,0,49.52,106.24,4.37,0,0,40.98,0
0,0,0,2.45,0,14.63,14.37,62.33,0,0,79.75,24.05,0,0,0,37.72,0
0,0,3.42,0,0,0,0,88.25,0,0,12.77,171.05,0,0,0,27.2,0
0,0,6.46,0,0,0,0,94.47,0,2.01,306.4,0,0,0,0,29.89,0
0,0,1.28,0,33.95,0,8.05,73.27,0,0,0,87.05,4.05,0,0,16.03,3.12
0,0,2.73,0,47.22,15.53,15.67,70.38,0,0.32,45.9,95.03,0,0,0,37.12,0
0,14.32,0,0,77.2,0,0,0,0,0,33.67,8.58,3.63,0,0,0,27.8
0,30.87,0,0,6.18,0,0,85.13,0,0,0,187.35,5.94,2.16,0,39.11,0
0,41,0,0,28.07,0,18.37,105.57,6.12,0.31,79.02,8.7,0,0,0,47.08,0
0,3.89,0,0,20.39,60.45,0,0,0,0,0,67.39,0,0,0,0,40.8
0,74.68,1.82,0,66.77,42.77,0,0,0,1.48,0,0,0,2.71,0.95,36.25,0
0,69.15,10.65,1.42,8.85,0,53.37,77.03,0,0,290.37,24.63,24.23,0,0,66.12,0
17.84,0,0,0,0,12.16,0,63.66,5.93,0,11.49,67.44,0,4.52,1.45,25.88,2.12
41.58,0,0,0,0,9.88,10.81,108.79,0,0,18.36,65.8,0,0,0,0,4.75
13.53,0,0,0,50.25,0,0,130.98,0,0,0,99.35,0,2.43,1.23,28.38,0
8.23,0,0,0,36.17,42.98,80.92,0,0,0,0,55.67,0,0,0,0,8.11
10.45,0,0,0,106.62,15.53,14.72,53.12,0,0,46.15,41.08,4.58,1.58,0,23.75,0
21.52,0,1.28,0,0,0,66.02,68.06,0,0,64.56,41.95,19.88,0,0,16.37,0
17.93,0,3.82,0,0,48.83,0,42.88,0,0.36,35.07,31.73,10.98,0,0.73,25.22,0
21.55,0,1.5,0,0,8.18,31.77,89.88,0,0,45.1,72.3,17.18,0,0,18.7,4.97
11.68,31.32,0,0,47,52.13,0,45.65,0,0,15.5,65.48,7.58,0,0,16.33,0
4.32,27.72,0,0.96,0,0,0,0,18.03,0,0,164.88,0,0,0,2.52,2.05
19.77,32.97,0,18.1,69.01,0,0,0,0,0,0,8.45,0,3.02,2.08,8.05,36.5
16.95,80.07,0,3.48,11.73,19.55,0,57.05,0,0,423.67,14.6,42.3,0,0,55.6,0
