Liatris_aspera,Solidago_nemoralis,Achillea_millefolium,Monarda_fistulosa,Asclepias_tuberosa,Rumex_acetosella,Petalostemum_villosum,Lespedeza_capitata,Amorpha_canescens,Lupinus_perennis,Panicum_sumatrense,Panicum_oligosanthes,Andropogon_gerardi,Schizachyrium_scoparium,Sorghastrum_nutans,Bouteloua_aristidoides,Sporobolus_cryptandrus,Poa_pratensis,Agrostis_rudis,Koeleria_pyramidata
0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,41.68,12.83,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,43.78,0,0,0,0,0,0.53,0,0.52,0
0,0,0,0,0,0,0,0,0,102.27,0,0,171.48,0,0,0,0,63.75,0,0
0,0,0,0,0,0,0,0,0,84.97,0,0.53,0,150.02,0,0,0,84.25,0,0
0,0,0,0,0,0,0,21.23,0,141.8,0,0.82,235.95,10.08,48.05,0,0,94.75,0,3.52
0,0,0,0,0,0,247.63,0,0,0,0,0,0,73.25,0,0.97,0,4.32,1.87,24.42
0,0,0,0,0,0,120.23,0,0,0,0,0,48.23,5.67,0,0,0,18.68,0,19.95
0,0,0,0,0,0,47.29,0,0,0,0,0,40.85,40.08,0,0.42,1.63,0,0,0
0,0,0,0,0,0,111.61,0,0,0,0,0,18.48,7.72,87.55,0,0,6.97,0.77,37.32
0,0,0,0,0,0,24.85,0,0,135.52,0,0,115.75,20.35,0,0,0,59.92,0,0
0,0,0,0,0,0,152.05,0,0,26.85,6.52,0.95,0,88.07,0,0,0,27.85,0,0
0,0,0,0,0,0,155.48,59.77,0,0,0,0,0,5.8,183.15,0.37,0,16.9,0,0
0,0,0,0,0,0,202.27,73.48,0,11.62,0,0,22.5,39.57,0,0,1.78,10.5,0,26.8
0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,137.17,0,0,0,0,3.63
0,0,0,0,0,1.32,0,0,0,10.45,0,0,130.5,7.67,0,0.58,0,0,0,9.7
0,0,0,0,0,2.87,0,265.83,0,0,0,0,0,205.68,0,0,0,0,0.47,0
0,0,0,0,1.18,1.48,0,0,0,64.97,0,0,151.08,37,9.8,0,0,31.8,0,0
0,0,13.78,0,0,0,0,0,68.77,71.73,0,0,29.13,84.27,0,0.65,0,21.72,0,4.12
0,0,1.98,0,0,0,0,46.02,14.97,54.62,0,0,47.02,52.68,12.75,0.55,0,56.83,0,0
0,0,7.9,0,0,0,70.03,0,0,44.75,0,0,95.53,37.85,39.18,0,0,28.12,0,0
0,0,6,0,0,0,126.72,62.5,0,54.22,0,0,64.5,58.6,19.95,0,0,35.57,0,0
0,0,4.22,0,0,0,29.18,26.4,44.73,81.38,0,0,111.65,23.6,58.55,0,0,59.3,0,0
0,0,13.67,0,0,0.42,0,0,0,0,0,0,0,0,285.42,0,0,0,0.28,0
0,0,3.28,172.05,0,0,0,0,0,57.05,8.93,6.77,33.37,0,110.2,0,0,46.58,0,0
