Liatris_aspera,Solidago_nemoralis,Achillea_millefolium,Monarda_fistulosa,Petalostemum_villosum,Lespedeza_capitata,Amorpha_canescens,Lupinus_perennis,Panicum_sumatrense,Panicum_oligosanthes,Andropogon_gerardi,Schizachyrium_scoparium,Sorghastrum_nutans,Bouteloua_aristidoides,Poa_pratensis,Koeleria_pyramidata
0,0,0,0,0,0,0,0,0,0,0,0,23.23,0,0,0
0,0,0,0,0,0,0,0,0,0,0,36.52,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,33.48,0,0,0,0
0,0,0,0,0,0,0,0,0,0,32.15,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,36.78,0,16.77,0,0,24.7
0,0,0,0,0,0,0,0,41.63,0,0,0,39.07,0,0,25.43
0,0,0,0,0,0,41.35,0,0,0,0,0,0,0,0,0
0,0,0,0,0,181.47,0,0,0,0,0,131.93,0,0,3.63,3.98
0,0,0,0,183.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,158.72,0,0,0,0,0,0,70.08,0,0.88,12.5,5.2
0,0,0,0,117.17,0,0,0,0,0,0,69.83,0,4.8,5.75,2.73
0,0,0,0,41.97,0,0,0,0,0,37.97,0,9.83,0.4,0,30.03
0,0,0,0,25.77,0,0,43.02,0,0,152.83,0,32.03,0,55.22,0
0,0,0,0,19.98,0,0,70.32,6.47,0.32,0,76.9,21.35,0.38,78.62,0
0,0,0,5.67,0,56.62,0,58.9,6,0.65,73.8,32.52,7.12,0,52.38,0
0,145.62,0,0,0,0,0,0,5.52,0,0,57.72,3.65,0,8.73,0
0,31.33,0,0,125.88,0,0,0,11.1,0,0,0,0,3.18,6.53,47.75
0,58.87,0,0,66.4,26.82,0,0,0,0,0,46.83,0,6.28,9.68,0
0,15.58,0,0,131.48,28.43,32.68,0,0,0.43,36.38,20.07,0,5.42,14.93,51.72
0,23.9,0,10.58,0,11.18,10.73,22.13,0,0.25,102.45,15.68,0,0,28.23,0
0,14.12,0,2.63,81.78,0,0,6.38,14.98,0.93,0,66.55,0,1.45,32.32,0
0,20.87,0,1.47,58.88,7.38,35.23,37,0,0,126.67,3.35,43.02,0,47.72,0
0,101.32,0,0.78,69.18,6.97,21.43,10.32,15.62,0.58,38.03,17.78,26.7,0,36.47,0
0,78.43,15.68,0,104.75,13.53,0,20.37,0,0.33,94.67,12.87,9.9,0,24.83,0
0,42.82,10.23,16.92,48.099999999999994,64.37,0,0,0,0,7.18,27.22,0,0.45,15,51.53
72.5,0,0,0,0,0,0,0,0,0,27.87,0,0,0,3.85,0
101.12,0,0,0,0,0,0,0,18.67,0,0,0,0,0,0,0
284.85,0,0,0,0,28.85,0,0,0,0,0,0,0,0,0,0
97.52,0,0,0,0,64.02,0,7.92,0,0.58,56.62,50.8,4.35,0,20.77,0
11.93,0,0,0,133.47,0,0,0,0,0,46.18,67.18,13.02,2.25,21.5,30.78
27.78,0,0,0,21.72,66.63,0,17.52,0,0,44.38,17.45,10.8,0,19.85,0
14.22,0,0,0,38.63,6.55,44.83,62.58,6.02,0,35.52,24.02,9.8,0.7,29.97,7.75
83.35,0,10.4,0,110.87,0,0,16.43,0,0,0,67.7,0,1.37,38.2,2.77
33.53,0,5.78,0,69.58,42.23,0,7.17,0,0,180.38,0,24.45,0,17.72,0
34.05,0,5.48,3.5,8.77,0,25.53,44.02,0,0,52.95,30.02,0,0,33.8,2.68
40.47,49.85,0,0,0,0,23.68,58.2,15.35,0,120.87,9.55,37.15,0,39.55,0
9.67,19.35,0,0,15.57,13.37,0,53.05,20.1,0,12.27,26.48,11.65,0,31.82,9.77
12.15,10.15,0,0,84.08,39.55,69.87,0,0,0,9.35,18.93,17.53,0,9.2,19
35.92,17,0,1.83,11.18,0,40.35,17.97,0,0,90.08,28.5,27.4,0,54.23,0
58.63,16.15,0,7.28,50.63,30.53,0,50.58,0,0,39.32,14.67,47.48,1.22,43.13,0
68.47,105.4,5.65,0.73,0,38.2,39.78,72.27,0,0,62.53,10.1,11.32,0,25.48,0
