Liatris_aspera,Solidago_nemoralis,Achillea_millefolium,Monarda_fistulosa,Asclepias_tuberosa,Rumex_acetosella,Petalostemum_villosum,Lespedeza_capitata,Amorpha_canescens,Lupinus_perennis,Panicum_sumatrense,Panicum_oligosanthes,Andropogon_gerardi,Schizachyrium_scoparium,Sorghastrum_nutans,Bouteloua_aristidoides,Poa_pratensis,Koeleria_pyramidata
0,0,0,0,0,0,0,0,0,0,0,0,0,45.62,0,0,0,1.15
0,0,0,0,0,0,0,0,0,0,0,0,85.63,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,60.93,0,0,0,77.52,0,3.25,1.47
0,0,0,0,0,0,0,0,0,29.3,0,0,252.97,0,0,0,32.78,0
0,0,0,0,0,0,85.93,0,0,0,0,0,0,142.35,0,0,9.82,2.93
0,0,0,0,0,0,52.2,0,0,0,0,0,69.13,0,11.93,0,0,13.13
0,0,0,0,0,0,26.619999999999997,23.18,0,31.07,0,0,174.53,0,19.92,0,27.95,0
0,0,0,0,0,5.92,0,0,0,2.25,0,0,110.77,0,23.65,0,0,7.88
0,0,0,0,0,1.52,0,0,0,4.32,17.58,0,155.78,38.27,19.52,0,17.55,0
0,0,0,0,1.65,0,0,0,0,2.5,13.85,0,0,61.9,0,0,0,2.8
0,0,0,0,23.77,0,0,24.4,0,14.77,0,0,231.28,25.2,0,0,30.92,0
0,0,0,8.45,0,0,34.13,12.48,0,13.25,0,0.45,114.33,14.28,30.32,0,20.08,0
0,0,6.22,0,0,0,0,0,0,13.63,0,0,183.95,6.43,0,0,20.93,0
0,0,1.88,0,0,0,21.88,20.13,0,21.95,21.2,0,26.15,66.55,131.98,0,26.62,0
0,0,22.85,16.97,0,0.73,0,17.07,0,79.55,12.08,0.38,117.98,37.27,28.1,0,51.4,0
0,0,6.77,5.15,1.03,0,42.28,27.25,0,40.55,0,0.6,219.13,0,18.23,0,9.6,0
0,29.82,0,0,0,0,0,0,0,0,0,0,66,0,0,0.48,0,3.72
0,5.42,0,0,0,0,0,37.75,0,0,0,0,145.42,0,110.45,1.05,5.02,1.15
0,40.07,0,0,0,0,120.68,0,0,0,47.52,0.27,0,0,0,0.7,12.1,1.48
0,16.52,0,44.72,0,0,0,0,0,16.05,14.12,0.3,12.07,6.3,231.57,0,21.72,0
0,22.45,0,5.73,0,0,70.05,0,0,17.97,20.45,0,0,130.02,62.32,0,52.9,0
0,4.55,1.32,0,0,0,27.5,19.8,0,0,0,0,63.12,29.43,0,0,11.08,0
0,97.27,15.17,0,0,0,15.67,17.63,32.8,3.43,40.52,2.72,0,37.58,90.48,0.32,10.82,0
0,21.37,2.47,0,0,1.65,29.65,0,54.23,0,0,0,79,62.75,21.63,0,5.55,6.58
0,57.82,0.95,11.7,0,0,72.14999999999999,0,0,0,5.73,0.35,0,82.37,19.17,0,11.72,0
0,4.78,3.65,9.02,0,0,18.72,0,0,9.08,0,0,0,52.37,96.83,0,3.53,0
34.32,0,0,0,0,0,0,32.6,0,19.88,0,0,160.43,15.43,71.45,0,26.87,0
16.43,0,0,0,0,0,0,16.07,85.87,13.17,8.82,0,37.75,37.95,125.37,1.2,10.7,5.28
28.08,0,0,0,0,0,40.19,0,0,0,15.3,0,52.55,85.53,9.17,1.2,5.62,6.22
3.52,0,0,0,0,0,38.2,28.93,82.87,0,0,0,0,82.88,24.57,1.07,12.47,2.9
26.72,0,0,0,0,2,42.72,74.25,0,0,0,0,0,107.58,6.95,1.05,0,0
45.43,0,1.57,0,0,0.95,0,44.62,0,0,0,0,27.07,11.93,72.8,0,7.77,0
37.55,0,12.88,0,9.22,0,45.67,0,15.42,5.03,0,2.05,81.4,42.45,69.68,1.25,11.63,0
21.48,0,4.17,20.58,0,0,30.9,14.03,9.25,0,0,0,121.17,38.12,8.42,0,19.3,0
15.97,0,2.78,4.9,3.82,0,0,0,11.98,69.88,0,0,156.88,30.52,0,0,47.62,0
6.7,15.17,0,0,0,0,9.38,15.52,0,3.62,13.38,0,82.37,59.12,10.2,0,17.37,1.2
23.18,27.369999999999997,0,0,0,0,18.35,38.72,0,2.58,32.48,0.33,95.7,6.25,52.35,0,20.77,0
27.82,12.22,0,0,0,0,67.63,4.6,70.77,45.95,0,0.37,135.77,8.85,22.57,0,46.9,0
57.28,142.62,2.13,0,0,0,62.88,0,33.62,7.27,0,1.65,169.88,0,6.63,0,34.12,0
74.98,38.47,4.87,0,0,0,6.529999999999999,22.58,0,10.13,0,0,41.4,62.77,23.48,0,20.43,0
15,51.08,11.63,8.08,0,0,0,0,0,13.7,0,0,453,0,29.27,0,74.3,0
22.73,130.4,13.08,17.03,18.45,0,0,33.87,0,20.77,0,0,0,11.35,43.93,0,25.35,0
4.97,31.47,9.47,2.1,0.83,0,60.28,20.15,15.22,7.45,0,3.27,152.02,0,0,0,23.43,0
