Achillea millefolium,Andropogon gerardi,Bouteloua gracilis,Koeleria cristata,Liatris aspera,Lupinus perennis,Petalostemum villosum,Poa pratensis,Schizachyrium scoparium,Sporobolus cryptandrus,Amorpha canescens,Lespedeza capitata,Panicum virgatum,Polygonum tenue,Erigeron canadensis,Monarda fistulosa,Polygonum convolvulus,Silene antirrhina,Sorghastrum nutans,Chenopodium leptophyllum,Crepis tectorum,Elymus canadensis,Taraxicum officinalis,Solidago nemoralis,Asclepias tuberosa,Aristida basiramea,Hedeoma hispida,Leptoloma cognatum,Physalis virginiana,Agropyron repens,Lepidium densiflorum,Ambrosia artemisiifolia elatior,Bouteloua curtipendula,Agrostis scabra,Euphorbia glyptosperma,Rumex acetosella,Panicum oligosanthes,Eragrostis spectabilis,Linaria vulgaris,Mollugo verticillata,Cyperus filiculmis,Cyperus schweinitzii
22.317,2.85,0.167,0.517,0.967,106.917,58.667,30.367,69,0,0,0,0,0,0,0,0.03,0,3,0,0,0.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0,0,0,1.333,0
0,9.25,0.02,1.6,0.933,8.65,3.55,0.2,108.367,0,0,15.133,3.283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117
0.85,45.967,1.933,6.083,6.067,98.2,2.6,7.383,45.2,1.217,112.533,0,0,0,0,0,0.067,0,40.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0
0,37.183,0.317,0.6,0,0,0,0.05,0,0,0,0,0,0,0.002,0,0,0,0,0,0.033,0,0,0,0,0.433,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
0,8.983,0.1,0,0,61.617,0,12.067,0.15,4.8,0,79.65,68.4,0,0,0,0,0,0,0.25,0,11.117,0,0,0,0,0,0,0,3.333,0,0,0,0.05,0,0,1.783,0,0,0,0,0.2
9.867,0,0,0,0,1.167,86.816,10.6,1.833,0,0,77.183,0,0.333,0,12.167,0,0,0.65,0,0,0,0,16.233,0.417,0.4,0,0,0,0,0.167,0,0,0.4,0,0,2.867,0,0,0,0,0
0,38.65,0,13.55,0,0,0,0,1.283,0,0,0,7.95,0,0,0.117,0,0,0,0,0,0,0,24.283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.5,0,0,272,0,0,0,1.667,0,0,0,0,0.967,0,2.733,0,0,3.2,0,0,0,0,57.183,0,0,0,0.5,2.7,0.917,0,0,0,0.067,0,0.4,0,0,0,0,2.083
1.017,38.95,0.033,33.133,0,0,7.933,0,0,0,0,0,0.067,0.018,0,0.15,0,0,2.967,0,0,0,0,1.417,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.033,0.733,0.65,0,0,116.45,0.083,98.517,0,0,0,0,0,0,0,0,0,0.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067
0.083,0,0,0,210.383,0,0,0,1.067,0,0,0,0,0.133,0,0,0,0,0,0.033,0,0,0,0,0,0,0.267,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0
2,0,0.117,10.417,0,95.933,24.417,23.683,55.183,0.217,0,0.008,0,0,0,2.133,0,0,64.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.8,0,8.767,0,207.767,0,95.433,3.35,0,0,9.083,0,0,0,1.333,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,2.417,0,0,0,0,0,0,0,0
0,0,1.65,0,0,0,139.79999999999998,0,61.45,0,0,58.15,0,0,0,0,0,0,0,0,0,0,0,7.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.133,0,0,0,0,0,0,0,68.183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.083,74.7,0.867,0,0.45,60.317,29.117,5.35,44.383,0.433,22.617,0.867,1.65,0,0,0,0.183,0,80.3,0.025,0,1.817,0,26.783,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,21.083,0,0,0,5.717,0.4,0,0,178.067,0,0,0.133,0,2.033,0,9.75,0.033,0,2.517,0.933,0,0,0,0,17.6,0,61.5,0,0,0,0,0,0,4.7,0,0,0,0,0
