"Species","species","target","n"
"Unsorted biomass","non_target","non_target",2165
"Miscellaneous litter","non_target","non_target",2135
"Schizachyrium scoparium","Schizachyrium scoparium","Schizachyrium scoparium",2090
"Poa pratensis","Poa pratensis","Poa pratensis",1919
"Sorghastrum nutans","Sorghastrum nutans","Sorghastrum nutans",1640
"Cyperus sp.","non_target","non_target",1517
"Andropogon gerardi","Andropogon gerardi","Andropogon gerardi",1446
"Lupinus perennis","Lupinus perennis","Lupinus perennis",1401
"Lespedeza capitata","Lespedeza capitata","Lespedeza capitata",1395
"Koeleria cristata","Koeleria cristata","Koeleria cristata",1362
"Bouteloua gracilis","Bouteloua gracilis","Bouteloua gracilis",1184
"Achillea millefolium(lanulosa)","Achillea millefolium","Achillea millefolium",1139
"Panicum virgatum","Panicum virgatum","Panicum virgatum",1060
"Petalostemum purpureum","Petalostemum purpureum","Petalostemum purpureum",1054
"Liatris aspera","Liatris aspera","Liatris aspera",933
"Solidago rigida","Solidago rigida","Solidago rigida",881
"Agropyron repens","Agropyron repens","Agropyron repens",763
"Sporobolus cryptandrus","Sporobolus cryptandrus","Sporobolus cryptandrus",722
"Unsorted Biomass","non_target","non_target",683
"Monarda fistulosa","Monarda fistulosa","Monarda fistulosa",664
"Agrostis scabra","Agrostis scabra","Agrostis scabra",650
"Crepis tectorum","Crepis tectorum","Crepis tectorum",649
"Panicum oligosanthes","Panicum oligosanthes","Panicum oligosanthes",640
"Green matter (alive)","non_target","non_target",616
"Erigeron canadensis","Erigeron canadensis","Erigeron canadensis",578
"Aristida basiramea","Aristida basiramea","Aristida basiramea",564
"Taraxicum officinalis","Taraxicum officinalis","Taraxicum officinalis",559
"Amorpha canescens","Amorpha canescens","Amorpha canescens",511
"Polygonum convolvulus","Polygonum convolvulus","Polygonum convolvulus",508
"Lepidium densiflorum","Lepidium densiflorum","Lepidium densiflorum",433
"Petalostemum candidum","Petalostemum candidum","Petalostemum candidum",424
"Asclepias tuberosa","Asclepias tuberosa","Asclepias tuberosa",423
"Silene antirrhina","Silene antirrhina","Silene antirrhina",404
"Rumex acetosella","Rumex acetosella","Rumex acetosella",395
"Petalostemum villosum","Petalostemum villosum","Petalostemum villosum",382
"Polygonum tenue","Polygonum tenue","Polygonum tenue",348
"Aristida sp.","non_target","non_target",334
"Hedeoma hispida","Hedeoma hispida","Hedeoma hispida",310
"Digitaria sp.","non_target","non_target",310
"Green matter","non_target","non_target",308
"Real Weeds","non_target","non_target",305
"Physalis virginiana","Physalis virginiana","Physalis virginiana",283
"Euphorbia glyptosperma","Euphorbia glyptosperma","Euphorbia glyptosperma",275
"Cyperus schweinitzii","Cyperus schweinitzii","Cyperus schweinitzii",274
"Bouteloua curtipendula","Bouteloua curtipendula","Bouteloua curtipendula",195
"Cyperus filiculmis","Cyperus filiculmis","Cyperus filiculmis",176
"Mollugo verticillata","Mollugo verticillata","Mollugo verticillata",174
"Miscellaneous sp.","non_target","non_target",170
"Leptoloma cognatum","Leptoloma cognatum","Leptoloma cognatum",169
"Carex sp.","non_target","non_target",162
"Eragrostis spectabilis","Eragrostis spectabilis","Eragrostis spectabilis",143
"Linaria vulgaris","Linaria vulgaris","Linaria vulgaris",141
"32 Species Weeds","non_target","non_target",138
"Chenopodium leptophyllum","Chenopodium leptophyllum","Chenopodium leptophyllum",119
"Ambrosia artemisiifolia elatior","Ambrosia artemisiifolia elatior","Ambrosia artemisiifolia elatior",118
"Solidago nemoralis","Solidago nemoralis","Solidago nemoralis",115
"Elymus canadensis","Elymus canadensis","Elymus canadensis",110
"Oxybaphus hirsutus","Oxybaphus hirsutus","non_target",85
"Trifolium repens","Trifolium repens","non_target",78
"Quercus macrocarpa","Quercus macrocarpa","non_target",75
"Agropyron smithii","Agropyron smithii","non_target",69
"Miscellaneous grasses","non_target","non_target",66
"Festuca sp.","non_target","non_target",57
"Lychnis alba","Lychnis alba","non_target",55
"Aster azureus","Aster azureus","non_target",52
"Equisetum laevigatum","Equisetum laevigatum","non_target",47
"Panicum perlongum","Panicum perlongum","non_target",44
"Sisyrinchium campestre","Sisyrinchium campestre","non_target",43
"Coreopsis palmata","Coreopsis palmata","non_target",35
"Erigeron strigosus","Erigeron strigosus","non_target",35
"Chenopodium album","Chenopodium album","non_target",33
"Quercus ellipsoidalis","Quercus ellipsoidalis","non_target",32
"Berteroa incana","Berteroa incana","non_target",31
"Setaria lutescens (glauca)","Setaria lutescens (glauca)","non_target",27
"Artemisia (caudata) campestris","Artemisia (caudata) campestris","non_target",26
"Asclepias syriaca","Asclepias syriaca","non_target",24
"Paspalum ciliatifolium","Paspalum ciliatifolium","non_target",22
"Fungi","non_target","non_target",20
"Tragopogon dubius (major)","Tragopogon dubius (major)","non_target",18
"Festuca ovina","Festuca ovina","non_target",17
"Rudbeckia serotina","Rudbeckia serotina","non_target",16
"Anemone cylindrica","Anemone cylindrica","non_target",15
"Mosses & lichens","non_target","non_target",15
"Digitaria ischaemum","Digitaria ischaemum","non_target",13
"Oxalis sp.","non_target","non_target",10
"Panicum praecocious","Panicum praecocious","non_target",10
"Polygala polygama","Polygala polygama","non_target",10
"Mosses","non_target","non_target",9
"Oenothera biennis","Oenothera biennis","non_target",9
"Stipa spartea","Stipa spartea","non_target",9
"Agrostis alba","Agrostis alba","non_target",8
"Bromus inermis","Bromus inermis","non_target",8
"Verbascum thapsus","Verbascum thapsus","non_target",8
"Artemisia ludoviciana","Artemisia ludoviciana","non_target",7
"Bouteloua hirsuta","Bouteloua hirsuta","non_target",7
"Lathyrus venosus","Lathyrus venosus","non_target",7
"Setaria sp.","non_target","non_target",7
"Viola pedatifida","Viola pedatifida","non_target",7
"Buchloe dactyloides","Buchloe dactyloides","non_target",6
"Calamagrostis canadensis","Calamagrostis canadensis","non_target",6
"Hieracium aurantiacum","Hieracium aurantiacum","non_target",6
"Hieracium longipilum","Hieracium longipilum","non_target",6
"Miscellaneous herbs","non_target","non_target",6
"Penstemon grandiflorus","Penstemon grandiflorus","non_target",6
"Trifolium hybridum","Trifolium hybridum","non_target",6
"Baptisia leucantha","Baptisia leucantha","non_target",5
"Euphorbia corollata","Euphorbia corollata","non_target",5
"Miscellaneous forb","non_target","non_target",5
"Silene sp.","non_target","non_target",5
"unknown forb","non_target","non_target",5
"Physalis heterophylla","Physalis heterophylla","non_target",5
"Astragalus canadensis","Astragalus canadensis","non_target",4
"Panicum sp.","non_target","non_target",4
"Plantago (purshii) patagonica","Plantago (purshii) patagonica","non_target",4
"Portulaca oleracea","Portulaca oleracea","non_target",4
"Tradescantia occidentalis","Tradescantia occidentalis","non_target",4
"Ambrosia coronopifolia","Ambrosia coronopifolia","non_target",3
"Digitaria sanguinalis","Digitaria sanguinalis","non_target",3
"Equisetum sp.","non_target","non_target",3
"Euphorbia sp.","non_target","non_target",3
"Miscellaneous grass","non_target","non_target",3
"Solidago sp.","non_target","non_target",3
"Sporobolus sp.","non_target","non_target",3
"Trifolium sp.","non_target","non_target",3
"Oxalis stricta","Oxalis stricta","non_target",3
"Sporobolus heterolepis","Sporobolus heterolepis","non_target",3
"Arabis divaricarpa","Arabis divaricarpa","non_target",2
"Aster ericoides","Aster ericoides","non_target",2
"Helianthemum bicknellii","Helianthemum bicknellii","non_target",2
"Liatris pycnostachya","Liatris pycnostachya","non_target",2
"era sp","non_target","non_target",2
"Erigeron sp.","non_target","non_target",2
"Grasses","non_target","non_target",2
"Lactuca sp.","non_target","non_target",2
"Panicum capillare","Panicum capillare","non_target",2
"Pedicularis canadensis","Pedicularis canadensis","non_target",2
"Penstemon gracilis","Penstemon gracilis","non_target",2
"Phlox pilosa","Phlox pilosa","non_target",2
"Potentilla argentea","Potentilla argentea","non_target",2
"Rosa arkansana","Rosa arkansana","non_target",2
"Setaria italica","Setaria italica","non_target",2
"Trifolium pratense","Trifolium pratense","non_target",2
"Viola pedata","Viola pedata","non_target",2
"Apocynum androsaemifolium","Apocynum androsaemifolium","non_target",1
"Arabis glabra","Arabis glabra","non_target",1
"Asclepias incarnata","Asclepias incarnata","non_target",1
"Asclepias ovalifolia","Asclepias ovalifolia","non_target",1
"Calamovilfa longifolia","Calamovilfa longifolia","non_target",1
"Cenchrus longispinus","Cenchrus longispinus","non_target",1
"Equisetum arvense","Equisetum arvense","non_target",1
"Euphorbia (supina) maculata","Euphorbia (supina) maculata","non_target",1
"Euphorbia geyeri","Euphorbia geyeri","non_target",1
"Fragaria virginiana","Fragaria virginiana","non_target",1
"Lactuca biennis","Lactuca biennis","non_target",1
"Melilotus officinalis","Melilotus officinalis","non_target",1
"Muhlenbergia racemosa","Muhlenbergia racemosa","non_target",1
"Agrostis sp.","non_target","non_target",1
"Calamagrostis sp.","non_target","non_target",1
"cyperus sp","non_target","non_target",1
"erg sp","non_target","non_target",1
"Festuca Sp.","non_target","non_target",1
"Hieracium sp.","non_target","non_target",1
"Lepidium sp.","non_target","non_target",1
"leptoloma sp.","non_target","non_target",1
"Miscellaneous Forb","non_target","non_target",1
"Miscellaneous sedges","non_target","non_target",1
"miscellaneous seedhead","non_target","non_target",1
"Petalostemum sp.","non_target","non_target",1
"Potentilla sp.","non_target","non_target",1
"Rumex sp.","non_target","non_target",1
"unknown grass","non_target","non_target",1
"Polygonatum canaliculatum","Polygonatum canaliculatum","non_target",1
"Polygonum persicaria","Polygonum persicaria","non_target",1
"Salix discolor","Salix discolor","non_target",1
"Setaria viridis","Setaria viridis","non_target",1
"SiLene antirrhina","Silene antirrhina","non_target",1
"Smilacina stellata","Smilacina stellata","non_target",1
"Solidago gigantea","Solidago gigantea","non_target",1
"Stipa spicata","Stipa spicata","non_target",1
"Vicia villosa","Vicia villosa","non_target",1
