Rudbeckia_hirta,Solidago_altissima,Monarda_fistulosa,Desmodium_canadense,Andropogon_gerardii,Schizachyrium_scoparium,Elymus_trachycaulus,Elymus_canadensis
0,0,0,0,0,0,0,44.37
0,0,0,0,0,0,0,23.94
0,0,0,0,0,0,0,32.12
0,0,0,0,0,0,44.37,0
0,0,0,0,0,0,5.08,0
0,0,0,0,0,0,7.26,0
0,0,0,0,0,0,6.48,31.75
0,0,0,0,0,2.92,0,0
0,0,0,0,0,28.32,0,0
0,0,0,0,0,18.16,0,0
0,0,0,0,0,3.42,0,15.74
0,0,0,0,95.11,0,0,0
0,0,0,0,99.37,0,0,0
0,0,0,0,74.98,0,0,0
0,0,0,0,65.8,0,0,0
0,0,0,0,20.29,0,0,4.17
0,0,0,0,33.28,0,1.98,0
0,0,0,0,19.36,2.18,0,0
0,0,0,0,58.32,1.22,0,4.79
0,0,0,0,37.7,2.9,3.9,5.15
0,0,0,0,37.88,5.62,1.26,11.29
0,0,0,54.73,0,0,0,0
0,0,0,104.05,0,0,0,0
0,0,0,49.34,0,0,0,0
0,0,0,14.39,0,0,0,0
0,0,0,81.42,0,0,4.34,0
0,0,66.4,0,0,0,0,0
0,0,68.89,0,0,0,0,0
0,0,51.04,0,0,0,0,0
0,0,68.38,0,0,0,0,0
0,0,73.32,0,0,0,4.62,0
0,0,71.21,0,0,5.17,0,0
0,66.24,0,0,0,0,0,0
0,123.1,0,0,0,0,0,0
0,67.1,0,0,0,0,0,0
0,97.33,0,0,0,0,0,0
0,70.28,0,0,0,0,0,0
0,107.47,0,0,0,0,0,0
0,81.76,0,0,0,0,1.2,0
0,114.2,0,0,0,2.37,0,0
0,63.56,0,0,0,18.24,0,0
0,31.32,0,61.31,0,0,0,46.74
0,41.25,0,48.7,0,3.54,0,28.74
0,16.23,52.36,0,0,0,0,0
40.62,0,0,0,0,0,0,0
13.92,0,0,0,0,0,0,0
102.32,0,0,0,0,0,0,0
23.81,0,0,0,0,0,0,23.79
23.68,0,0,44.38,0,0,0,0
3.72,114.37,0,0,0,0,0,0
12.95,51.69,0,0,0,0,0,0
32.24,60.04,0,0,0,0,0,0
34.87,30.73,0,0,0,0,0,0
16.64,29.43,0,64.4,0,0,0,0
