PLOT,TREAT,RICH,PHY,ANGE,SCSC,ASTU,DECA ,ELCA ,ELTR,LECA,MOFI,PEHI,PYTE,PYVI,RUHI,SONE,SOAL,LITTER,ABOVE_BIO
X2,1,1,0,,,,,,,,,,,,,47.89,,79.05,47.89
X6,1,1,0,,,,,,,,,,,,,,,0.00,0.00
X7,1,1,0,,,,,,44.37,,,,,,,,,36.32,44.37
X9,1,1,0,,,,,44.37,,,,,,,,,,37.26,44.37
X10,1,1,0,,,,,,,,,,,,,,,0.00,0.00
X13,1,1,0,,,,,,,,,,,,,,66.24,15.20,66.24
X14,1,1,0,,,,,,,,,47.58,,,,,,11.19,47.58
X18,1,1,0,,,,,,,,,,,,40.62,,,42.79,40.62
X26,1,1,0,,,,14.39,,,0.68,,,,,,,,6.91,15.07
X29,1,1,0,95.11,,,,,,,,,,,,,,7.75,95.11
X32,1,1,0,,,,,,,,,,,4.50,,,,0.00,4.50
X33,1,1,0,,,,,,,,,,,,,,123.10,17.89,123.10
X38,1,1,0,,,,,,,,,,1.31,,,,,0.00,1.31
X41,1,1,0,,,47.89,,,,,,,,,,,,7.05,47.89
X42,1,1,0,,,,,,5.08,,,,,,,,,9.86,5.08
X43,1,1,0,,,,,,,,,,,,,,67.10,4.65,67.10
X44,1,1,0,,,32.46,,,,,,,,,,,,3.92,32.46
X47,1,1,0,,,,,,7.26,,,,,,,,,27.63,7.26
X48,1,1,0,,,,,,,,,,,,13.92,,,25.73,13.92
X49,1,1,0,,,,,,,,66.40,,,,,,,50.46,66.40
X50,1,1,0,,,,54.73,,,,,,,,,,,10.61,54.73
X52,1,1,0,,,,,,,,,,,,,57.16,,18.27,57.16
X53,1,1,0,99.37,,,,,,,,,,,,,,20.88,99.37
X54,1,1,0,,,,,,,,,,2.28,,,,,4.37,2.28
X55,1,1,0,,,,,,,,,,,6.22,,,,0.00,6.22
X60,1,1,0,,,,,,,34.17,,,,,,,,10.69,34.17
X65,1,1,0,,2.92,,,,,,,,,,,,,0.85,2.92
X66,1,1,0,,,,,,,,,,,,102.32,,,3.67,102.32
X69,1,1,0,,,,,,,,68.89,,,,,,,41.87,68.89
X71,1,1,0,,28.32,,,,,,,,,,,,,14.56,28.32
X72,1,1,0,,,,,,,,,,,,,7.00,,0.90,7.00
X75,1,1,0,,,,104.05,,,,,,,,,,,48.59,104.05
X76,1,1,0,,,,,,,,,,0.40,,,,,0.00,0.40
X78,1,1,0,74.98,,,,,,,,,,,,,,41.41,74.98
X80,1,1,0,,,,,,,,51.04,,,,,,,21.29,51.04
X81,1,1,0,,,,,,,,,,,,,,97.33,13.64,97.33
X82,1,1,0,,18.16,,,,,,,,,,,,,4.78,18.16
X83,1,1,0,,,,,,,,,,,,,,70.28,28.38,70.28
X85,1,1,0,,,,49.34,,,,,,,,,,,3.96,49.34
X86,1,1,0,,,,,23.94,,,,,,,,,,19.76,23.94
X87,1,1,0,,,,,,,,,36.18,,,,,,2.98,36.18
X89,1,1,0,,,,,,,,,,,4.35,,,,0.00,4.35
X90,1,1,0,,,,,,,5.31,,,,,,,,1.17,5.31
X92,1,1,0,,,,,32.12,,,,,,,,,,32.36,32.12
X94,1,1,0,,,,,,,,,,,,,,107.47,7.56,107.47
X99,1,1,0,,,,,,,,,24.13,,,,,,1.14,24.13
X4,2H,2,3,,,,,,4.62,,73.32,,,,,,,34.50,77.93
X11,2M,2,2,,,,,,,,,,,,,5.77,59.50,12.90,65.27
X15,2M,2,2,,,,,,,,52.36,,,,,,16.23,35.29,68.59
X19,2L,2,1,,,,,31.75,6.48,,,,,,,,,30.66,38.23
X21,2L,2,1,,,,,,,,59.31,,,0.94,,,,55.82,60.25
X24,2M,2,2,,,41.50,,,,3.49,,,,,,,,15.65,44.99
X25,2M,2,2,33.28,,,,,1.98,,,,,,,,,9.15,35.27
X28,2L,2,1,,,,,,,,,2.03,,,,,,8.64,2.03
X31,2L,2,1,,,,,,,,,,,,3.72,,114.37,54.49,118.09
X34,2H,2,3,65.80,,,,,,,,0.34,,,,,,9.93,66.14
X39,2H,2,3,,38.91,,,,,6.42,,,,,,,,14.25,45.34
X45,2L,2,1,,,,,,,,,,0.92,20.90,,,,0.00,21.82
X46,2M,2,2,20.29,,,,4.17,,,,,,,,,,16.68,24.46
X51,2H,2,3,,2.37,,,,,,,,,,,,114.20,52.24,116.57
X58,2H,2,3,,,,,23.79,,,,,,,23.81,,,49.38,47.60
X59,2M,2,2,,,,,,,,68.38,,,,1.28,,,64.18,69.66
X62,2H,2,3,,,,81.42,,4.34,,,,,,,,,6.22,85.75
X63,2M,2,2,,,,44.38,,,,,,,,23.68,,,7.14,68.05
X64,2L,2,1,19.36,2.18,,,,,,,,,,,,,16.08,21.55
X73,2M,2,2,,,21.70,,,,,,,,3.02,,,,1.66,24.73
X93,2M,2,2,,3.42,,,15.74,,,,,,,,,,9.32,19.16
X97,2L,2,1,,,,,,,,,,,,,9.80,37.11,5.38,46.92
X98,2H,2,3,,18.24,,,,,,,,,,,,63.56,16.59,81.80
X3,4H,4,3,,3.54,,48.70,28.74,,,,,,,,,41.25,74.23,122.24
X8,4L,4,1,77.04,,,,,,2.38,,,,,,,87.40,21.46,166.82
X12,4M,4,2,35.79,2.10,,,,,,,,,,,1.60,47.93,22.20,87.42
X16,4L,4,1,37.70,2.90,,,5.15,3.90,,,,,,,,,84.45,49.65
X17,4M,4,2,38.82,3.44,,,,,,,1.90,,,,,,53.67,44.16
X22,4H,4,3,,,7.17,82.92,,1.72,,,,,,,,,141.60,91.81
X23,4H,4,3,,,8.38,,31.73,,1.37,,,,,,1.43,,22.45,42.91
X27,4M,4,2,,,,64.40,,,0.02,,,,,16.64,,29.43,32.89,110.50
X36,4M,4,2,125.89,3.14,,,,,,,,0.23,0.08,,,,9.67,129.35
X37,4M,4,2,,,,,,,,44.08,,0.00,0.61,,,28.93,86.37,73.62
X40,4L,4,1,37.88,5.62,,,11.29,1.26,,,,,,,,,8.70,56.06
X56,4H,4,3,,5.17,,,,0.91,,71.21,0.07,,,,,,43.10,77.36
X57,4L,4,1,58.32,1.22,,,4.79,0.87,,,,,,,,,19.30,65.20
X61,4H,4,3,46.89,,3.05,,,,,54.89,,,,,,6.82,36.34,111.66
X67,4M,4,2,,,1.13,,,,,,,,,34.87,,30.73,20.26,66.73
X68,4L,4,1,,,,,,,,,,,,,4.46,62.56,38.32,67.03
X74,4H,4,3,,,,61.31,46.74,,,,,0.00,,,,31.32,38.48,139.36
X77,4M,4,2,,,,39.07,,,0.25,43.77,,0.10,,,,,33.68,83.20
X84,4L,4,1,,,,,,,,,,,,32.24,1.11,60.04,86.89,93.40
X88,4M,4,2,,,,,0.94,1.20,,,,,,,0.19,81.76,32.24,84.10
X91,4L,4,1,,,,,,,,,,,,12.95,,51.69,19.25,64.64
X100,4H,4,3,15.65,,,,26.25,,,,,0.19,,,,29.08,13.74,71.18
