"species","code"
"Andropogon gerardii","ANGE"
"Schizachyrium scoparium","SCSC"
"Asclepias tuberosa","ASTU"
"Aster umbellatus","ASUM"
"Desmodium canadense","DECA"
"Elymus canadensis","ELCA"
"Elymus trachycaulus","ELTR"
"Lespedeza capitata","LECA"
"Liatris cylandracea","LICY"
"Monarda fistulosa","MOFI"
"Penstemon digitalis","PEDI"
"Penstemon hirsutus","PEHI"
"Pycnanthemum tenuifolium","PYTE"
"Pycnanthemum virginianum","PYVI"
"Rudbeckia hirta","RUHI"
"Solidago nemoralis","SONE"
"Solidago ptarmicoides","SOPT"
"Solidago altissima","SOAL"
"Solidago rigida","SOAL"
"Symphyotrichum novae anliae","SYNA"
