PLOT,ANGE,SCSC,ASTU,DECA ,ELCA ,ELTR,LECA,MOFI,PEHI,PYTE,PYVI,RUHI,SONE,SOAL
X2,,,,,,,,,,,,,1,
X3,,1,,1,1,,,,,,,,1,
X4,,,,,,1,,1,,,,,,
X6,,,,,,,,,,,,,,
X7,,,,,,1,,,,,,,,
X8,1,,,,,,1,,,,,,,1
X9,,,,,1,,,,,,,,,
X10,,,,,,,,,,,,,,
X11,,,,,,,,,,,,,1,1
X12,1,1,,,,,,,,,,,1,1
X13,,,,,,,,,,,,,,1
X14,,,,,,,,,1,,,,,
X15,,,,,,,,1,,,,,,1
X16,1,1,,,1,1,,,,,,,,
X17,1,1,,,,,,,1,,,,,
X18,,,,,,,,,,,,1,,
X19,,,,,1,1,,,,,,,,
X21,,,,,,,,1,,,1,,,
X22,,,1,1,,1,,,,,,,,
X23,,,1,,1,,1,,,,,,1,
X24,,,1,,,,1,,,,,,,
X25,1,,,,,1,,,,,,,,
X26,,,,1,,,1,,,,,,,
X27,,,,1,,,1,,,,,1,,1
X28,,,,,,,,,1,,,,,
X29,1,,,,,,,,,,,,,
X31,,,,,,,,,,,,1,,1
X32,,,,,,,,,,,1,,,
X33,,,,,,,,,,,,,,1
X34,1,,,,,,,,1,,,,,
X36,1,1,,,,,,,,1,1,,,
X37,,,,,,,,1,,1,1,,,1
X38,,,,,,,,,,1,,,,
X39,,1,,,,,1,,,,,,,
X40,1,1,,,1,1,,,,,,,,
X41,,,1,,,,,,,,,,,
X42,,,,,,1,,,,,,,,
X43,,,,,,,,,,,,,,1
X44,,,1,,,,,,,,,,,
X45,,,,,,,,,,1,1,,,
X46,1,,,,1,,,,,,,,,
X47,,,,,,1,,,,,,,,
X48,,,,,,,,,,,,1,,
X49,,,,,,,,1,,,,,,
X50,,,,1,,,,,,,,,,
X51,,1,,,,,,,,,,,,1
X52,,,,,,,,,,,,,1,
X53,1,,,,,,,,,,,,,
X54,,,,,,,,,,1,,,,
X55,,,,,,,,,,,1,,,
X56,,1,,,,1,,1,1,,,,,
X57,1,1,,,1,1,,,,,,,,
X58,,,,,1,,,,,,,1,,
X59,,,,,,,,1,,,,1,,
X60,,,,,,,1,,,,,,,
X61,1,,1,,,,,1,,,,,,1
X62,,,,1,,1,,,,,,,,
X63,,,,1,,,,,,,,1,,
X64,1,1,,,,,,,,,,,,
X65,,1,,,,,,,,,,,,
X66,,,,,,,,,,,,1,,
X67,,,1,,,,,,,,,1,,1
X68,,,,,,,,,,,,,1,1
X69,,,,,,,,1,,,,,,
X71,,1,,,,,,,,,,,,
X72,,,,,,,,,,,,,1,
X73,,,1,,,,,,,,1,,,
X74,,,,1,1,,,,,1,,,,1
X75,,,,1,,,,,,,,,,
X76,,,,,,,,,,1,,,,
X77,,,,1,,,1,1,,1,,,,
X78,1,,,,,,,,,,,,,
X80,,,,,,,,1,,,,,,
X81,,,,,,,,,,,,,,1
X82,,1,,,,,,,,,,,,
X83,,,,,,,,,,,,,,1
X84,,,,,,,,,,,,1,1,1
X85,,,,1,,,,,,,,,,
X86,,,,,1,,,,,,,,,
X87,,,,,,,,,1,,,,,
X88,,,,,1,1,,,,,,,1,1
X89,,,,,,,,,,,1,,,
X90,,,,,,,1,,,,,,,
X91,,,,,,,,,,,,1,,1
X92,,,,,1,,,,,,,,,
X93,,1,,,1,,,,,,,,,
X94,,,,,,,,,,,,,,1
X97,,,,,,,,,,,,,1,1
X98,,1,,,,,,,,,,,,1
X99,,,,,,,,,1,,,,,
X100,1,,,,1,,,,,1,,,,1
