Leucanthemum_vulgare,Centaurea_jacea,Plantago_lanceolata,Rumex_acetosa,Festuca_rubra,Holcus_lanatus,Agrostis_capillaris,Anthoxanthum_odoratum
0,0,0,0,0,0,0,68.49
0,0,0,0,0,0,0,66.81
0,0,0,0,0,0,0,58.16
0,0,0,0,0,0,0,70.16
0,0,0,0,0,0,0,53.16
0,0,0,0,0,0,0,58.43
0,0,0,0,0,0,104.02,0
0,0,0,0,0,0,87.48,0
0,0,0,0,0,0,87.27,0
0,0,0,0,0,0,80.86,0
0,0,0,0,0,0,93.63,0
0,0,0,0,0,0,98.25,0
0,0,0,0,0,0,58.93,24.9
0,0,0,0,0,57.65,0,0
0,0,0,0,0,53.35,0,0
0,0,0,0,0,60.01,0,0
0,0,0,0,0,61.71,0,0
0,0,0,0,0,88.19,0,0
0,0,0,0,0,64.22,0,0
0,0,0,0,0,71.35,0,0
0,0,0,0,0,74.45,0,4.18
0,0,0,0,0,52.07,21.17,0
0,0,0,0,96.78,0,0,0
0,0,0,0,111.48,0,0,0
0,0,0,0,116.96,0,0,0
0,0,0,0,108.32,0,0,0
0,0,0,0,103.85,0,0,0
0,0,0,0,105.74,0,0,0
0,0,0,0,94.03,0,0,19.96
0,0,0,0,62.03,0,37.67,0
0,0,0,0,11.51,49.7,0,0
0,0,0,0,15.55,53.8,15.8,0
0,0,0,70,0,0,0,0
0,0,0,85.25,0,0,0,0
0,0,0,61.2,0,0,0,0
0,0,0,70.6,0,0,0,0
0,0,0,70.86,0,0,0,0
0,0,0,48.27,0,0,0,0
0,0,0,36.4,0,0,0,52.73
0,0,0,12.61,114.09,0,0,0
0,0,49.11,0,0,0,0,0
0,0,56.69,0,0,0,0,0
0,0,54.54,0,0,0,0,0
0,0,53.23,0,0,0,0,0
0,0,54.98,0,0,0,0,0
0,0,47.88,0,0,0,0,0
0,0,37.96,0,0,0,24.64,0
0,0,25.78,0,0,36.69,0,0
0,0,19,0,0,37.91,5.16,0
0,0,45.28,0,39.47,0,0,0
0,0,47.19,0,24.81,0,20.68,6.67
0,0,19.7,0,13.14,19.83,4.26,0
0,0,45.94,14.88,0,0,0,0
0,0,59.67,3.99,0,0,0,11.82
0,0,32.22,19.42,44.4,0,0,0
0,115.63,0,0,0,0,0,0
0,90.23,0,0,0,0,0,0
0,112.3,0,0,0,0,0,0
0,70.87,0,0,0,0,0,0
0,104.45,0,0,0,0,0,0
0,98.65,0,0,0,0,0,0
0,55.54,0,0,0,0,0,29.75
0,37.3,0,0,0,0,36.16,0
0,16.73,0,0,0,52.18,0,0
0,24.99,0,0,0,38.64,27.34,4.48
0,31.72,0,0,14.15,37.35,0,0
0,24.32,0,0,16.46,42.07,0,4.23
0,89.9,0,28.24,0,0,0,0
0,18.49,0,7.46,0,65.7,0,0
0,40.06,0,19.87,50.25,0,0,12.23
0,41.67,43.3,0,0,0,0,0
0,22.48,33.52,9.64,37.01,0,0,0
68.48,0,0,0,0,0,0,0
84.02,0,0,0,0,0,0,0
60.23,0,0,0,0,0,0,0
73.5,0,0,0,0,0,0,0
65.11,0,0,0,0,0,0,0
55.84,0,0,0,0,0,0,0
39.06,0,0,0,0,0,0,20.3
31.18,0,0,0,0,0,46.79,0
44.6,0,0,0,43.05,0,0,0
12.36,0,0,0,47.07,0,13.65,11.42
52.28,0,0,21.63,0,0,0,0
19.87,0,30.09,0,0,0,0,0
8.64,0,25.16,0,0,28.21,0,4.09
16.83,0,22.81,0,22.91,0,0,6.73
8.58,0,31.26,0,14.9,32.7,0,0
22.52,0,44.39,9.3,0,0,24.19,0
15.89,0,18.22,2.44,0,27.3,0,0
57.2,63.72,0,0,0,0,0,0
30.98,34.58,0,0,0,0,14.92,8.55
27.82,22.58,0,0,0,32.13,5.11,0
30.87,14.97,0,0,30.63,0,13.13,0
34.64,20.55,0,21.54,0,0,0,13.84
21.02,13.03,0,16.82,0,40.73,0,0
13.74,13.63,38.54,0,35.06,0,0,0
8.57,11.47,11.97,0,10.06,36.49,9.45,2.44
14.34,14.9,9.12,3.19,6.34,32.15,0,2.99
22.14,12.6,14.45,16.46,9.58,21.33,5.84,3.04
11.6,7.64,15.88,11.95,7.26,26.52,8.05,2.73
9.14,8.6,18.96,4.72,10.45,27.73,6.91,3.03
16.44,9.87,22.26,4.04,13.81,30.34,2.9,2.58
